Exact File Name,Proper Name,Description,Timeline/Era,File Path
notre_dame_cathedral__work_in_progress.glb,Notre Dame Cathedral  Work In Progress,"Name: notre dame cathedral work in progress

historical period: medieval, gothic architecture.","1163: construction begins during the reign of king louis vii.

12th-13th century: main structure and iconic twin towers are completed.

13th century: stained glass windows and rose windows added.

14th-15th century: various additions and renovations, including the flying buttresses.

16th-17th century: minor alterations and repairs.

18th-19th century: restoration and modernization efforts, led by architects viollet-le-duc and jean-baptiste lassus.

19th-20th century: continued maintenance and updates.

2019: devastating fire damages the roof, spire, and transept.

2020: reconstruction efforts begin, aiming to restore the cathedral to its former glory.",/Users/mmadhusudan/Desktop/MyProject/My3DModels/notre_dame_cathedral__work_in_progress.glb
model_of_pompeii_in_naples_archaeological_museum.glb,Model Of Pompeii In Naples Archaeological Museum,"Model of pompeii in naples archaeological museum

the model of pompeii is a 1:100 scale model of the ancient roman city of pompeii, created in 1861-1879 by giuseppe fiorelli. it is housed in the naples archaeological museum.

historical.","79 ce: pompeii destroyed by the eruption of mount vesuvius.
 1748: excavations of pompeii begin.
 1861-1879: giuseppe fiorelli creates the model of pompeii.
 1960s: model undergoes restoration.

historical era:

roman empire, 1st century ce.",/Users/mmadhusudan/Desktop/MyProject/My3DModels/model_of_pompeii_in_naples_archaeological_museum.glb
lascaux.glb,Lascaux,"Lascaux cave

description:

lascaux cave is renowned for its prehistoric cave paintings, depicting animals, humans, and abstract symbols. the paintings are remarkable for their artistic skill and vibrant colors.

historical.","Paleolithic era:
     estimated to have been painted between 17,000 and 15,000 years ago
 20th century:
     discovered in 1940 by four teenagers
     opened to the public in 1948
 1963:
     closed to the public due to deterioration caused by uncontrolled tourism
 1983:
     a replica, lascaux ii, opened nearby
 present:
     remains closed to the public, with only scientists and conservationists permitted inside
     lascaux iv, a high-resolution virtual reality tour, opened in 2016 for the general public to experience the cave.",/Users/mmadhusudan/Desktop/MyProject/My3DModels/lascaux.glb
templo_epiatorio_da_sagrada_familia.glb,Templo Epiatorio Da Sagrada Familia,"Templo expiatorio de la sagrada familia

description:
the 'temple expiatory of the sagrada familia' is an iconic basilica located in barcelona, spain, known for its intricate gothic and art nouveau architecture. its design incorporates religious and secular elements, symbolizing the union between faith and the natural world.

historical.","1882: construction begins under the direction of architect francisco de paula del villar
 1883: antoni gaudí takes over as chief architect and introduces his distinctive style
 1892-1910: gaudí develops the basilica's overall design, including the nativity facade
 1926: gaudí dies, leaving the basilica incomplete
 1954-present: various architects continue construction based on gaudí's plans
 2010: the basilica is consecrated by pope benedict xvi

historical era:
the sagrada familia belongs to the modernist era (1890-1910), which saw the emergence of new architectural styles that rejected traditional forms and embraced organic and decorative elements.",/Users/mmadhusudan/Desktop/MyProject/My3DModels/templo_epiatorio_da_sagrada_familia.glb
.DS_Store,.Ds Store,"Description: `.ds_store` is a hidden file created by apple's finder application on macintosh operating systems. it stores metadata about the directory it resides in, such as icon view settings, window positions, and finder tags.

historical.","1998: introduced in mac os 8.1 as part of the appleshare ip file sharing protocol.
 1999: added support for storing finder metadata.
 2001: became part of mac os x 10.0 (cheetah).
 2019: macos catalina (10.15) removed the ability to create new `.ds_store` files on network volumes.
 present: remains a hidden file in macos, but its usage has declined with the introduction of icloud syncing for finder settings.

historical era or period:

information age (1970s-present).",/Users/mmadhusudan/Desktop/MyProject/My3DModels/.DS_Store
mont-saint-michel_france.glb,Mont Saint Michel France,Error fetching data.,Era not specified.,/Users/mmadhusudan/Desktop/MyProject/My3DModels/mont-saint-michel_france.glb
ellora_caves__india.glb,Ellora Caves  India,"Description:

the ellora caves are a complex of 34 buddhist, hindu, and jain rock-cut temples and monasteries located in maharashtra, india. the caves are famous for their elaborate sculptures, paintings, and architectural grandeur.

historical.","5th-6th century: excavation of the buddhist caves, including the viharas (monasteries) and chaityas (prayer halls)
 7th-8th century: excavation of the hindu caves, including the kailasa temple, a monolithic temple dedicated to lord shiva
 10th-12th century: excavation of the jain caves, including the indrasabha and jagannatha sabha, dedicated to jain tirthankaras

historical era or period:

the ellora caves belong to the ancient india period, specifically the gupta, chalukya, and rashtrakuta eras.",/Users/mmadhusudan/Desktop/MyProject/My3DModels/ellora_caves__india.glb
cliff_palace_mesa_verde_colorado.glb,Cliff Palace Mesa Verde Colorado,"Cliff palace mesa verde colorado

description:

cliff palace is a massive ancestral puebloan (anasazi) cliff dwelling located in mesa verde national park, colorado. it is the largest and most well-preserved cliff dwelling in north america. the structure contains over 150 rooms, 23 kivas, and a great kiva, all carved into the sheer face of a sandstone cliff.

historical.","C. 550-750 ce: small pit houses are constructed at the base of the cliff.
 c. 750-900 ce: pueblo ii era: larger masonry structures are built, including the first cliff dwellings.
 c. 900-1100 ce: pueblo iii era: cliff palace is expanded and reaches its peak size and complexity.
 c. 1200 ce: puebloans abandon cliff palace and the surrounding area due to severe drought and resource depletion.

historical era/period:

pueblo iii era (c. 900-1100 ce).",/Users/mmadhusudan/Desktop/MyProject/My3DModels/cliff_palace_mesa_verde_colorado.glb
cn_tower_scan_-_toronto.glb,Cn Tower Scan   Toronto,"Cn tower scan toronto

description:

the cn tower scan, located in toronto, canada, is a revolving restaurant perched atop the cn tower, offering panoramic views of the city.

historical.","1973-1976: construction of the cn tower
 early 1980s: opening of the cn tower scan restaurant
 present day: the restaurant continues to operate, offering guests a unique dining experience with breathtaking views.

historical era:

the cn tower scan belongs to the modern architectural era, which spans from the mid-20th century to the present.",/Users/mmadhusudan/Desktop/MyProject/My3DModels/cn_tower_scan_-_toronto.glb
parthenon_-_acropolis_athens_greece (1).glb,Parthenon   Acropolis Athens Greece (1),"Parthenon, acropolis, athens, greece (1)

the parthenon is an ancient temple dedicated to the goddess athena, located on the acropolis of athens, greece. it is considered one of the most important and impressive architectural monuments of the ancient world.

historical.","5th century bc: construction begins during the rule of pericles, during the golden age of athens.
 447 bc: temple completed.
 438 bc: statue of athena parthenos installed inside the temple.
 267 bc: damaged by a fire during an invasion by the heruli.
 2nd/3rd century ad: converted into a christian basilica.
 6th/7th century ad: converted into a mosque.
 15th century ad: converted into a church by the ottomans.
 1687 ad: severely damaged by a venetian bombardment during the ottoman-venetian war.
 19th century ad: restoration efforts begin.
 20th century ad: extensive reconstruction and archaeological surveys conducted.

historical era: classical antiquity (5th-4th centuries bc).",/Users/mmadhusudan/Desktop/MyProject/My3DModels/parthenon_-_acropolis_athens_greece (1).glb
martinskapelle.glb,Martinskapelle,"Martinskapelle

the martinskapelle (saint martin's chapel) is the oldest original structure in the city of cologne, germany.

historical timeline

 presumably 8th century: originally built as a small chapel or oratory dedicated to saint martin of tours.
 948: first documented mention as a collegiate church in a charter of archbishop bruno the great.
 10th-11th century: major expansion and reconstruction, resulting in the present romanesque-gothic structure.
 11th century: tower added.
 15th century: choir rebuilt in gothic style.
 17th-18th century: baroque additions and embellishments.
 1803: secularized and became property of the city of cologne.
 19th century: extensive restorations and improvements.
 1945: heavily damaged in world war ii.
 1950s-1960s: reconstructed and restored to its former glory.

historical era

the martinskapelle belongs primarily to the romanesque era (10th-11th century), with gothic, baroque, and modern elements added over time.",Era not specified.,/Users/mmadhusudan/Desktop/MyProject/My3DModels/martinskapelle.glb
alcatraz.glb,Alcatraz,"Alcatraz

alcatraz, an island located in san francisco bay, california, is renowned for its infamous history as a federal prison. its historical timeline spans several eras:

pre-prison era (1775-1850s):
 1775: initially claimed by spanish explorers as ""la isla de alcatraces.""
 1850s: became a u.s. army fort, serving as a defense against potential enemy attacks.

federal prison era (1934-1963):
 1934: designated as a federal maximum-security prison, housing notorious criminals such as al capone and robert stroud.
 1959-1963: construction of the new cellhouse and expansion of the prison complex.

decommissioning and tourist attraction (1963-present):
 1963: closed as a prison due to high maintenance costs and operational concerns.
 1973: designated as a national historic landmark and opened to the public as a tourist attraction and museum.
 present: continues to operate as a popular destination for tours and historical exploration.",Era not specified.,/Users/mmadhusudan/Desktop/MyProject/My3DModels/alcatraz.glb
shah_alam_blue_mosque.glb,Shah Alam Blue Mosque,"Shah alam blue mosque

description:
the shah alam blue mosque is a stunning blue-tiled mosque located in shah alam, malaysia. it is renowned for its architectural beauty, featuring a large central dome and four minarets, all adorned with intricate blue tiles.

historical.","1982-1988: construction of the mosque began, inspired by the blue mosque in istanbul, turkey.
 1988: the mosque was officially opened by then-prime minister mahathir mohamad.

historical era/period:

the shah alam blue mosque belongs to the contemporary era of islamic architecture, as it was built in the late 20th century. however, its architectural style draws heavily from ottoman and islamic traditions, making it a unique blend of modern and historical influences.",/Users/mmadhusudan/Desktop/MyProject/My3DModels/shah_alam_blue_mosque.glb
statue_of_liberty.glb,Statue Of Liberty,"Statue of liberty

description:

the statue of liberty is a monumental copper statue depicting a woman holding a torch and a book. it was designed by the french sculptor frédéric auguste bartholdi and gifted to the united states by the people of france in 1886.

historical.","Conception (1865):
 proposed by édouard rené de laboulaye during the american civil war.

design and construction (1875-1884):
 bartholdi sculpted the figure and gustave eiffel designed the internal framework.
 constructed in paris, france.

dedication (october 28, 1886):
 officially dedicated in new york harbor as a symbol of freedom, democracy, and opportunity.

historical era or period:
 the statue of liberty belongs to the gilded age of american history (1870-1900).",/Users/mmadhusudan/Desktop/MyProject/My3DModels/statue_of_liberty.glb
alhambra_palace_fortress_granada_spain.glb,Alhambra Palace Fortress Granada Spain,"Alhambra palace fortress, granada, spain

the alhambra, meaning ""red castle"" in arabic, is a magnificent palace fortress located in granada, spain. it was the last stronghold of the moors in the iberian peninsula and is considered one of the finest examples of islamic architecture in the world.

historical.","878-899 ce: construction of a small fortress on the site of the alhambra by the banu nasr dynasty.
 1013 ce: the moorish kingdom of granada is established by the zirid dynasty.
 1238 ce: the nasrid dynasty takes control of granada.
 1248-1354 ce: reign of muhammad i, during which most of the alhambra's major structures were built.
 1354-1427 ce: civil war and decline of the nasrid kingdom.
 1492 ce: granada is conquered by the catholic monarchs, ferdinand and isabella.
 1526 ce: emperor charles v orders the construction of the palace of charles v within the alhambra.
 19th century ce: restoration and conservation efforts begin on the alhambra.

the alhambra belongs to the nasrid era of moorish architecture, which flourished in the 13th and 14th centuries.",/Users/mmadhusudan/Desktop/MyProject/My3DModels/alhambra_palace_fortress_granada_spain.glb
milan_cathedral.glb,Milan Cathedral,"Milan cathedral

milan cathedral, also known as the duomo di milano, is a gothic cathedral located in the center of milan, italy. it is one of the largest and most important churches in the world and is dedicated to the nativity of mary.

historical.","4th-6th century: the site of the cathedral was originally occupied by a roman basilica dedicated to saint tecla.
 9th-10th century: a new basilica was built on the site, dedicated to saint ambrose.
 late 14th-15th century: the current cathedral was begun in 1386 during the gothic period.
 1572: the dome was completed by pellegrino tibaldi.
 17th-18th centuries: various additions and modifications were made to the cathedral, including the facade by francesco croce.
 19th-20th centuries: restoration and preservation work was carried out on the cathedral.
 present day: milan cathedral is a popular tourist destination and remains an important religious site for the archdiocese of milan.

historical era: gothic period.",/Users/mmadhusudan/Desktop/MyProject/My3DModels/milan_cathedral.glb
prague_castle_prague_czech_republic.glb,Prague Castle Prague Czech Republic,"Prague castle, prague, czech republic

prague castle is a sprawling complex of palaces, churches, and towers perched atop a hill overlooking the vltava river in prague, czech republic. it is the largest ancient castle in the world and has been a symbol of czech power and prestige for centuries.

historical.","9th century ad: construction of a wooden fortress on the site.
 10th century ad: the fortress is expanded and renamed ""prague castle.""
 11th-12th centuries ad: the castle becomes the seat of the přemyslid dynasty, who rule bohemia.
 13th century ad: king václav i rebuilds the castle in gothic style.
 14th century ad: emperor charles iv expands the castle and establishes prague as the capital of the holy roman empire.
 16th century ad: the castle is damaged by a fire and rebuilt in renaissance style.
 18th century ad: baroque additions are made to the castle.
 19th century ad: the castle is restored and neo-gothic buildings are added.
 20th and 21st centuries ad: the castle serves as the official residence of the president of the czech republic.

historical era or period:

prague castle spans multiple historical eras, including:

 early middle ages (9th-10th centuries ad)
 high middle ages (10th-13th centuries ad)
 late middle ages (13th-15th centuries ad)
 renaissance (16th century ad)
 baroque (17th-18th centuries ad)
 neo-gothic (19th century ad)
 modern (20th-21st centuries ad).",/Users/mmadhusudan/Desktop/MyProject/My3DModels/prague_castle_prague_czech_republic.glb
jerusalem_1st._temple_period._blmj_museum.glb,Jerusalem 1St. Temple Period. Blmj Museum,"Jerusalem 1st temple period, blmj museum

description:
this museum showcases artifacts and exhibits that provide insights into the period of jerusalem's first temple (c. 1000-586 bce). located in jerusalem, it houses archaeological treasures and interactive experiences that recount the city's history during this pivotal era.

historical.","C. 1000 bce: jerusalem becomes the capital of the united kingdom of israel under king david.
 c. 970 bce: king solomon builds the first temple on mount moriah.
 c. 597 bce: nebuchadnezzar ii, king of babylon, conquers jerusalem and exiles many of its inhabitants.
 586 bce: nebuchadnezzar destroys the first temple and much of jerusalem.
 538 bce: cyrus the great, king of persia, allows the exiled jews to return to jerusalem and rebuild the temple.",/Users/mmadhusudan/Desktop/MyProject/My3DModels/jerusalem_1st._temple_period._blmj_museum.glb
petra_detail.glb,Petra Detail,"Petra detail refers to the intricate rock carvings and architectural details found within the ancient city of petra in jordan. its historical timeline is estimated as follows:

historical era: nabatean period (c. 4th century bc - 106 ad)

 1st century bc - 1st century ad: the nabataeans, an arab nomadic tribe, established petra as their capital. they carved the elaborate facades, tombs, and temples into the surrounding sandstone cliffs.
 106 ad: petra was annexed by the roman empire and became part of the province of arabia petraea.
 2nd-3rd centuries ad: petra flourished as a major roman trading hub.
 4th century ad: the city declined due to the rise of maritime trade and the depletion of its water sources.
 6th-7th centuries ad: petra was abandoned and fell into ruins.
 19th century ad: european explorers rediscovered petra, leading to its excavation and preservation efforts.",Era not specified.,/Users/mmadhusudan/Desktop/MyProject/My3DModels/petra_detail.glb
guggenheim_nyc.glb,Guggenheim Nyc,"Guggenheim nyc

description:
the guggenheim museum, located on manhattan's upper east side, is an iconic architectural masterpiece designed by frank lloyd wright. it houses a renowned collection of modern and contemporary art.

historical.","Historical era/period: 20th century (modern era)

 1937: solomon r. guggenheim establishes the solomon r. guggenheim foundation.
 1943: wright commissions to design the museum building.
 1959: the guggenheim museum opens to the public.
 1965: wright's rotunda is completed.
 2001: the museum undergoes a major renovation.
 present: the guggenheim nyc remains a prominent art institution, showcasing groundbreaking exhibitions and fostering creativity.",/Users/mmadhusudan/Desktop/MyProject/My3DModels/guggenheim_nyc.glb
free__burj_khalifa_dubai.glb,Free  Burj Khalifa Dubai,Free burj khalifa dubai does not exist. there is no historical record or evidence of such a structure or event.,Era not specified.,/Users/mmadhusudan/Desktop/MyProject/My3DModels/free__burj_khalifa_dubai.glb
model_st._basils_cathedral_red_square.glb,Model St. Basils Cathedral Red Square,"Model st. basil's cathedral red square

description:

this intricate model captures the iconic architectural masterpiece of st. basil's cathedral, located in red square, moscow. the model features vibrant colors, ornate domes, and intricate detailing, replicating the cathedral's stunning beauty.

historical.","Construction era: mid-16th century (1555-1561)
 commissioned by tsar ivan iv (ivan the terrible)
 designed by russian architects barma and postnik yakovlev
 built to commemorate the conquest of kazan

historical period:

 russian renaissance.",/Users/mmadhusudan/Desktop/MyProject/My3DModels/model_st._basils_cathedral_red_square.glb
stonehenge_england_-_vr.glb,Stonehenge England   Vr,"Stonehenge england vr: an immersive virtual reality experience that transports users to the iconic prehistoric monument, stonehenge, in england.

historical.","C. 3000 bc (neolithic era): construction of the first circular ditch and bank enclosure
 c. 2600 bc: addition of the first stone circle (sarsen stones)
 c. 2500 bc: addition of the outer circle (bluestones)
 c. 2000 bc (bronze age): further modifications and enhancements
 c. 1500 bc: stonehenge remains in use as a ceremonial and ritual site
 c. 500 bc (iron age): stonehenge is abandoned and falls into disrepair
 17th-18th centuries (early modern period): stonehenge becomes a popular tourist destination.",/Users/mmadhusudan/Desktop/MyProject/My3DModels/stonehenge_england_-_vr.glb
Unknown,Forbidden City Model,"Description:

the forbidden city model is a miniature representation of the actual forbidden city in beijing, china. constructed from wood and bricks, it encompasses over 1,000 structures and was built to a scale of 1:18.

historical.","Estimated historical era: ming dynasty (1368-1644)

possible dates of construction:

 early 15th century: the forbidden city model is believed to have been constructed during the reign of emperor yongle (1402-1424).
 mid-16th century: some historians suggest it may have been built earlier, during the reign of emperor jiajing (1521-1567).

purpose:

the forbidden city model served several purposes:

 educational tool: it was used to teach members of the imperial family about the layout and architecture of the forbidden city.
 symbolic representation: it symbolized the emperor's power and authority over the vast chinese empire.
 architectural record: it provides valuable insights into the design and construction techniques used in the actual forbidden city.",Unknown
pantheon_rome_italy.glb,Pantheon Rome Italy,"Pantheon, rome, italy

description:

the pantheon is an iconic roman temple renowned for its innovative architectural design, featuring a massive concrete dome supported by thick walls. its interior is characterized by a circular cella with a large oculus (circular opening) at its apex, providing natural light.

historical.","Early 1st century ad: original temple possibly built by marcus agrippa, son-in-law of emperor augustus.
 80 ad: temple destroyed by fire.
 118-128 ad: current pantheon constructed and dedicated by emperor hadrian.
 7th century: converted into a christian church.
 15th century: interior decorated with renaissance artwork.
 17th century: restored by pope urban viii, who added a tower that was later removed.
 19th century: archaeological excavations and restoration work conducted.

historical era or period:

roman empire, specifically the flavian period (69-96 ad).",/Users/mmadhusudan/Desktop/MyProject/My3DModels/pantheon_rome_italy.glb
lincoln_memorial.glb,Lincoln Memorial,"Lincoln memorial

description:

the lincoln memorial is a majestic marble monument in washington, d.c., honoring the 16th president of the united states, abraham lincoln. its colossal statue of lincoln sits serenely in the center of a columned chamber, surrounded by inscriptions of his most famous speeches.

historical.","1910: congress authorizes the construction of the memorial.
 1914: groundbreaking ceremony held.
 1922: memorial dedicated by president warren g. harding.
 1963: martin luther king jr.'s ""i have a dream"" speech given at the lincoln memorial during the march on washington.

historical era:

historical era: early 20th century (progressive era).",/Users/mmadhusudan/Desktop/MyProject/My3DModels/lincoln_memorial.glb
cologne_cathedral.glb,Cologne Cathedral,"Cologne cathedral

description:

cologne cathedral is a towering gothic masterpiece located in cologne, germany. with its twin spires reaching over 500 feet, it is the tallest cathedral in germany and one of the most significant architectural landmarks in europe.

historical.","1248: construction begins under archbishop konrad von hochstaden.
 1322: the choir is completed and consecrated.
 1437: work on the nave is suspended due to financial difficulties.
 1842: the completion of the cathedral is authorized by king frederick william iv of prussia.
 1880: the cathedral is finally completed after more than 600 years of construction.

historical era/period:

 gothic period (13th-16th centuries).",/Users/mmadhusudan/Desktop/MyProject/My3DModels/cologne_cathedral.glb
seattle_space_needle.glb,Seattle Space Needle,"Seattle space needle

the seattle space needle is an iconic landmark in the city of seattle, washington, usa. it is a 605-foot (184-meter) observation tower built for the 1962 world's fair.

historical.","1959: edward e. carlson, president of western international hotels, proposed building a permanent structure for the world's fair.
 1961: construction began on the space needle.
 1962: the space needle was completed and opened to the public on april 21, 1962, during the world's fair.
 1963: the space needle received the ""golden globe"" award for its architectural design.
 1983: the space needle was designated a city of seattle landmark.
 2000: the space needle underwent a major renovation to update its exterior and interior.
 2009: the space needle celebrated its 50th anniversary.
 present: the space needle continues to be a popular tourist attraction and symbol of the city of seattle.

historical era:

the seattle space needle belongs to the modern era of architecture, which spanned from the 1920s to the 1970s. modern architecture is characterized by its focus on functionality, simplicity, and the use of new materials and technologies. the space needle is an excellent example of this style, with its sleek lines, minimalist design, and use of innovative materials such as concrete and steel.",/Users/mmadhusudan/Desktop/MyProject/My3DModels/seattle_space_needle.glb
